date,REGION_N,num_of_cases,recent_cases_in_cluster,total_cases_in_cluster
2018-01-22,NORTH REGION,10,14,20
2018-01-22,NORTH-EAST REGION,98,74,671
2018-01-22,WEST REGION,8,10,17
2018-01-23,CENTRAL REGION,34,33,113
2018-01-23,EAST REGION,24,27,104
2018-01-23,NORTH-EAST REGION,2,2,2
2018-01-23,WEST REGION,33,66,138
2018-01-24,CENTRAL REGION,13,15,27
2018-01-24,EAST REGION,89,224,774
2018-01-24,NORTH REGION,23,27,57
2018-01-24,NORTH-EAST REGION,10,15,33
2018-01-24,WEST REGION,26,31,62
2018-01-25,CENTRAL REGION,26,25,105
2018-01-25,EAST REGION,2,2,4
2018-01-25,NORTH REGION,80,132,692
2018-01-25,NORTH-EAST REGION,20,33,49
2018-01-25,WEST REGION,10,9,16
2018-01-26,CENTRAL REGION,42,120,252
2018-01-26,EAST REGION,82,100,786
2018-01-26,NORTH REGION,50,131,496
2018-01-26,NORTH-EAST REGION,4,4,8
2018-01-26,WEST REGION,20,15,44
2018-01-27,CENTRAL REGION,4,16,16
2018-01-27,EAST REGION,14,19,39
2018-01-27,NORTH REGION,36,44,124
2018-01-28,CENTRAL REGION,10,12,20
2018-01-28,EAST REGION,69,134,754
2018-01-28,WEST REGION,101,159,2035
2018-01-29,CENTRAL REGION,8,17,19
2018-01-29,EAST REGION,27,78,135
2018-01-29,NORTH REGION,23,72,89
2018-01-29,NORTH-EAST REGION,113,82,770
2018-01-30,CENTRAL REGION,5,4,20
2018-01-30,EAST REGION,35,55,193
2018-01-30,NORTH REGION,8,18,20
2018-01-30,NORTH-EAST REGION,4,12,12
2018-01-30,WEST REGION,63,193,470
2018-01-31,CENTRAL REGION,5,6,10
2018-01-31,EAST REGION,126,731,1879
2018-01-31,NORTH REGION,15,18,38
2018-01-31,NORTH-EAST REGION,16,31,53
2018-01-31,WEST REGION,41,84,159
2019-01-01,CENTRAL REGION,37,66,83
2019-01-01,EAST REGION,217,534,1964
2019-01-01,NORTH REGION,18,23,33
2019-01-01,NORTH-EAST REGION,242,678,2615
2019-01-01,WEST REGION,241,396,9308
2019-01-02,CENTRAL REGION,478,1117,5773
2019-01-02,EAST REGION,550,1834,6728
2019-01-02,NORTH REGION,503,965,19415
2019-01-02,NORTH-EAST REGION,140,278,663
2019-01-02,WEST REGION,120,357,1379
2019-01-03,CENTRAL REGION,262,1010,2488
2019-01-03,EAST REGION,295,979,2728
2019-01-03,NORTH REGION,510,3137,12331
2019-01-03,NORTH-EAST REGION,148,261,557
2019-01-03,WEST REGION,75,192,383
2019-01-04,CENTRAL REGION,242,311,3260
2019-01-04,EAST REGION,304,471,3472
2019-01-04,NORTH REGION,41,51,161
2019-01-04,NORTH-EAST REGION,163,383,2054
2019-01-04,WEST REGION,216,585,7886
2019-01-06,CENTRAL REGION,634,1954,7832
2019-01-06,EAST REGION,648,960,6152
2019-01-06,NORTH REGION,190,548,1874
2019-01-06,NORTH-EAST REGION,972,2581,13230
2019-01-06,WEST REGION,713,1563,21288
2019-01-07,CENTRAL REGION,17,28,46
2019-01-07,EAST REGION,173,801,3132
2019-01-07,NORTH REGION,15,38,43
2019-01-07,NORTH-EAST REGION,20,56,100
2019-01-07,WEST REGION,69,180,337
2019-01-08,CENTRAL REGION,1359,3705,15840
2019-01-08,EAST REGION,1671,4254,23587
2019-01-08,NORTH REGION,476,1045,16486
2019-01-08,NORTH-EAST REGION,710,1896,5456
2019-01-08,WEST REGION,780,2398,17204
2019-01-09,CENTRAL REGION,13,26,55
2019-01-09,EAST REGION,20,37,48
2019-01-09,NORTH REGION,101,114,1244
2019-01-09,NORTH-EAST REGION,28,26,122
2019-01-09,WEST REGION,12,11,42
2019-01-10,CENTRAL REGION,308,1128,3441
2019-01-10,EAST REGION,322,868,3220
2019-01-10,NORTH REGION,467,3028,13786
2019-01-10,NORTH-EAST REGION,115,264,475
2019-01-10,WEST REGION,77,222,469
2019-01-11,CENTRAL REGION,128,218,1145
2019-01-11,EAST REGION,298,339,3462
2019-01-11,NORTH REGION,8,16,28
2019-01-11,NORTH-EAST REGION,181,333,2203
2019-01-11,WEST REGION,215,480,8136
2019-01-13,CENTRAL REGION,497,1849,6509
2019-01-13,EAST REGION,661,1230,5609
2019-01-13,NORTH REGION,259,1771,3660
2019-01-13,NORTH-EAST REGION,968,2225,13682
2019-01-13,WEST REGION,662,1501,21651
2019-01-14,CENTRAL REGION,39,97,136
2019-01-14,EAST REGION,241,1107,4709
2019-01-14,NORTH REGION,33,96,145
2019-01-14,NORTH-EAST REGION,49,108,214
2019-01-14,WEST REGION,107,231,628
2019-01-15,CENTRAL REGION,64,92,173
2019-01-15,EAST REGION,261,531,2792
2019-01-15,NORTH REGION,9,16,21
2019-01-15,NORTH-EAST REGION,330,1183,3099
2019-01-15,WEST REGION,355,1758,12046
2019-01-16,CENTRAL REGION,1597,5422,19891
